bse_symbol,nse_symbol
JPPOWER,JPPOWER
3IINFOTECH,3IINFOTECH
MBECL,MBECL
GOKEX,GOKEX
ALLSEC,ALLSEC
IIFL,IIFL
MANGALAM,MANGALAM
SHOPERSTOP,SHOPERSTOP
CYBERMEDIA,CYBERMEDIA
NDL,NDL
JSWHL,JSWHL
JKCEMENT,JKCEMENT
YESBANK,YESBANK
NECLIFE,NECLIFE
MSPL,MSPL
SPLIL,SPLIL
KTKBANK,KTKBANK
MCLEODRUSS,MCLEODRUSS
IDFC,IDFC
VIVIMEDLAB,VIVIMEDLAB
RML,RML
HTMEDIA,HTMEDIA
SASKEN,SASKEN
FCSSOFT,FCSSOFT
SUZLON,SUZLON
AURIONPRO,AURIONPRO
RENUKA,RENUKA
KMSUGAR,KMSUGAR
BASML,BASML
PBAINFRA,PBAINFRA
BRFL,BRFL
SORILINFRA,SORILINFRA
AIAENG,AIAENG
EKC,EKC
KERNEX,KERNEX
